trial_id,variant,case_id,model,quantity,axis,log_psd_l2_distance,target_dominant_frequency_hz,predicted_dominant_frequency_hz,dominant_frequency_abs_error_hz,coherence_at_target_dominant_frequency,phase_at_target_dominant_frequency_rad,coherence_defined,phase_defined,coherence_valid_node_count
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10_HYBRID,displacement,Y,4.114709632160751,0.06661115736885893,0.06661115736885893,0.0,0.9953731298446655,0.0,True,True,496
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10,velocity,Y,1.4061213998069915,0.09991673605328841,0.09991673605328841,0.0,0.9821731448173523,-0.0030260432977229357,True,True,496
COMMON_B2,common,V40_CPLUS_E2_C5_2T,B2,displacement,Y,2.615210120366796,0.06661115736885893,0.06661115736885893,0.0,0.9993148446083069,0.0,True,True,496
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10_HYBRID,displacement,Z,4.771283090980988,0.06661115736885893,0.06661115736885893,0.0,0.9978722929954529,0.0,True,True,508
R4_LHS_03,physics,V40_CPLUS_E2_C5_2T,S10,velocity,Z,2.110437377773042,0.09991673605328841,0.09991673605328841,0.0,0.9960966110229492,-0.006067587994039059,True,True,508
COMMON_B2,common,V40_CPLUS_E2_C5_2T,B2,displacement,Z,6.194489345369334,0.06661115736885893,0.06661115736885893,0.0,0.9993525147438049,0.0,True,True,508
R4_LHS_03,physics,V40_C_E2_C5_2T,S10_HYBRID,displacement,X,1.862896255289201,1.1990008326394608,1.1990008326394608,0.0,0.9998779296875,0.0001880829076981172,True,True,496
R4_LHS_03,physics,V40_C_E2_C5_2T,S10,velocity,X,1.8067882300724085,2.0316402997501974,1.9650291423813386,0.06661115736885881,0.44121575355529785,0.6413562893867493,True,True,496
COMMON_B2,common,V40_C_E2_C5_2T,B2,displacement,X,1.6282171878899663,1.1990008326394608,1.1990008326394608,0.0,0.9999147653579712,-0.00012638414045795798,True,True,496
R4_LHS_03,physics,V40_C_E2_C5_2T,S10_HYBRID,displacement,Y,3.6489389150844733,0.06661115736885893,0.06661115736885893,0.0,0.9894693493843079,0.0,True,True,496
R4_LHS_03,physics,V40_C_E2_C5_2T,S10,velocity,Y,1.5347858677262247,0.09991673605328841,0.09991673605328841,0.0,0.9844938516616821,-0.015114863403141499,True,True,496
COMMON_B2,common,V40_C_E2_C5_2T,B2,displacement,Y,2.7002668966480385,0.06661115736885893,0.06661115736885893,0.0,0.9977213740348816,0.0,True,True,496
R4_LHS_03,physics,V40_C_E2_C5_2T,S10_HYBRID,displacement,Z,4.491427404406773,0.06661115736885893,0.06661115736885893,0.0,0.9947301745414734,0.0,True,True,508
R4_LHS_03,physics,V40_C_E2_C5_2T,S10,velocity,Z,2.1766131159465165,0.09991673605328841,0.09991673605328841,0.0,0.994975745677948,-0.011062144301831722,True,True,508
COMMON_B2,common,V40_C_E2_C5_2T,B2,displacement,Z,6.196833117104157,0.06661115736885893,0.06661115736885893,0.0,0.9973495602607727,0.0,True,True,508
R4_LHS_03,physics,V52_A_E2_C5_2T,S10_HYBRID,displacement,X,1.4727982814775198,1.1990008326394608,1.1990008326394608,0.0,0.9999618530273438,0.00021268517593853176,True,True,496
R4_LHS_03,physics,V52_A_E2_C5_2T,S10,velocity,X,2.362824752347392,0.16652789342214733,0.16652789342214733,0.0,0.9265257716178894,0.01906564272940159,True,True,496
COMMON_B2,common,V52_A_E2_C5_2T,B2,displacement,X,1.7599420937254011,1.1990008326394608,1.1990008326394608,0.0,0.999977171421051,0.00015340530080720782,True,True,496
R4_LHS_03,physics,V52_A_E2_C5_2T,S10_HYBRID,displacement,Y,2.607020563136427,0.06661115736885893,0.06661115736885893,0.0,0.9946178793907166,0.0,True,True,496
R4_LHS_03,physics,V52_A_E2_C5_2T,S10,velocity,Y,1.2016181498597482,0.13322231473771787,0.13322231473771787,0.0,0.97931969165802,0.006725423038005829,True,True,496
