feature,fold,repeat,delta_MAE,baseline_MAE
equilibrium_loss_weight,0,14,-0.004696697338113426,0.1318489606058634
equilibrium_loss_weight,0,15,-0.004178900681262948,0.1318489606058634
equilibrium_loss_weight,0,16,-0.0038086233878680265,0.1318489606058634
equilibrium_loss_weight,0,17,-0.005537294676343785,0.1318489606058634
equilibrium_loss_weight,0,18,-0.0013150909641358732,0.1318489606058634
equilibrium_loss_weight,0,19,-0.0031123217391411107,0.1318489606058634
equilibrium_loss_weight,0,20,-0.006182935526250211,0.1318489606058634
equilibrium_loss_weight,0,21,-0.009464744432474997,0.1318489606058634
equilibrium_loss_weight,0,22,-0.0044146376786608765,0.1318489606058634
equilibrium_loss_weight,0,23,-0.0036642039541104066,0.1318489606058634
equilibrium_loss_weight,0,24,-0.0037898685862432224,0.1318489606058634
equilibrium_loss_weight,0,25,0.0008404128510611508,0.1318489606058634
equilibrium_loss_weight,0,26,-0.005540856834212876,0.1318489606058634
equilibrium_loss_weight,0,27,-0.004992495630421284,0.1318489606058634
equilibrium_loss_weight,0,28,-0.004835353009727761,0.1318489606058634
equilibrium_loss_weight,0,29,-0.008303312065995716,0.1318489606058634
gradient_clip,0,0,0.0055317737244647,0.1318489606058634
gradient_clip,0,1,0.0019903832240531216,0.1318489606058634
gradient_clip,0,2,0.0047929702032714905,0.1318489606058634
gradient_clip,0,3,0.0011296460048891843,0.1318489606058634
gradient_clip,0,4,0.002889097579935107,0.1318489606058634
gradient_clip,0,5,0.0008756081446152642,0.1318489606058634
gradient_clip,0,6,0.002258469079898545,0.1318489606058634
gradient_clip,0,7,0.002164399633381414,0.1318489606058634
gradient_clip,0,8,0.0021850834984583067,0.1318489606058634
gradient_clip,0,9,0.0017645659509911704,0.1318489606058634
gradient_clip,0,10,0.00328665541498252,0.1318489606058634
gradient_clip,0,11,0.0026942200410483286,0.1318489606058634
gradient_clip,0,12,0.0008756081446152642,0.1318489606058634
gradient_clip,0,13,0.0018744384085331578,0.1318489606058634
gradient_clip,0,14,0.0033747494086884267,0.1318489606058634
gradient_clip,0,15,0.0005099169520662306,0.1318489606058634
gradient_clip,0,16,0.0035656187780840898,0.1318489606058634
gradient_clip,0,17,0.0019444892042843331,0.1318489606058634
gradient_clip,0,18,0.002891099030755989,0.1318489606058634
gradient_clip,0,19,0.0022743851038693197,0.1318489606058634
gradient_clip,0,20,0.0024743621130184357,0.1318489606058634
gradient_clip,0,21,0.001768564546436674,0.1318489606058634
gradient_clip,0,22,0.0004939180345902849,0.1318489606058634
