trial_id,variant,model,case_id,axis,relative_l2
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E7_C11_2T,X,0.0136361740382845
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E7_C11_2T,Y,0.0367094194911017
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E7_C11_2T,Z,0.0420191140604823
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E8_C12_2T,X,0.1416530549544526
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E8_C12_2T,Y,0.0268873509440754
R4_LHS_03,physics,R4_LHS_03-physics,V40_A_E8_C12_2T,Z,0.0354384150283702
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E1_C4_2T,X,0.1710123964545687
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E1_C4_2T,Y,0.0413237707436171
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E1_C4_2T,Z,0.0456868260977245
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E2_C5_2T,X,0.0139651765320533
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E2_C5_2T,Y,0.0385877989308235
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E2_C5_2T,Z,0.0362506608119515
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E3_C6_1T,X,0.066850855737987
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E3_C6_1T,Y,0.0383612191661712
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E3_C6_1T,Z,0.0235847093207941
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E4_C7_1T,X,0.0093299517175859
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E4_C7_1T,Y,0.025043694353229
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E4_C7_1T,Z,0.0166565584905668
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E5_C9_1T,X,0.018815384844171
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E5_C9_1T,Y,0.0462874029182862
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E5_C9_1T,Z,0.0301405441141963
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E6_C10_1T,X,0.0453640619248921
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E6_C10_1T,Y,0.024269784643851
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E6_C10_1T,Z,0.0174787469657679
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E7_C11_2T,X,0.0112765822564567
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E7_C11_2T,Y,0.0233687374978528
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E7_C11_2T,Z,0.0270210190819037
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E8_C12_2T,X,0.1927789295448846
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E8_C12_2T,Y,0.034248148408499
R4_LHS_03,physics,R4_LHS_03-physics,V40_B_E8_C12_2T,Z,0.041910671390544
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E1_C4_2T,X,0.088359449603607
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E1_C4_2T,Y,0.0254605545168648
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E1_C4_2T,Z,0.0319367908535236
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E2_C5_2T,X,0.0159205110608259
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E2_C5_2T,Y,0.0426831215061628
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E2_C5_2T,Z,0.0410554240577135
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E3_C6_1T,X,0.0830537170906581
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E3_C6_1T,Y,0.0445480353350346
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E3_C6_1T,Z,0.0298012347592566
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E4_C7_1T,X,0.0183114091542778
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E4_C7_1T,Y,0.0353443482723887
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E4_C7_1T,Z,0.022752023859113
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E5_C9_1T,X,0.0142472056351673
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E5_C9_1T,Y,0.0378098191750662
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E5_C9_1T,Z,0.0243930611079713
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E6_C10_1T,X,0.1045017461878677
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E6_C10_1T,Y,0.0405578555869887
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E6_C10_1T,Z,0.0295047000618053
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E7_C11_2T,X,0.0153190709183839
R4_LHS_03,physics,R4_LHS_03-physics,V40_CPLUS_E7_C11_2T,Y,0.0352878719405154
